TRADEDATE,CLOSE,OPEN,HIGH,LOW,CAPITALIZATION,DIVISOR,RANGE_PAST,CLOSE_PAST,DAY,DAY_OF_WEEK,MONTH,CAPITALIZATION_PAST,DIVISOR_PAST
2015-01-06,1480.73,1435.39,1481.35,1430.47,6.86393463962586,4.6355033829447,48.38000000000011,1435.66,6,1,1,6.6550001934179805,4.6355033829447
2015-01-08,1547.39,1482.12,1564.87,1481.93,7.172914288797299,4.6355033829447,50.87999999999988,1480.73,8,3,1,6.86393463962586,4.6355033829447
2015-01-09,1515.37,1547.61,1557.96,1496.17,7.02448056804543,4.6355033829447,82.93999999999983,1547.39,9,4,1,7.172914288797299,4.6355033829447
2015-01-12,1513.22,1515.23,1534.74,1503.49,7.01453816169229,4.6355033829447,61.789999999999964,1515.37,12,0,1,7.02448056804543,4.6355033829447
2015-01-13,1533.09,1513.21,1543.59,1499.57,7.106620719186809,4.6355033829447,31.25,1513.22,13,1,1,7.01453816169229,4.6355033829447
2015-01-14,1554.46,1531.65,1560.01,1524.69,7.205690234312639,4.6355033829447,44.01999999999998,1533.09,14,2,1,7.106620719186809,4.6355033829447
2015-01-15,1563.21,1556.96,1586.22,1555.36,7.2462436680287405,4.6355033829447,35.319999999999936,1554.46,15,3,1,7.205690234312639,4.6355033829447
2015-01-16,1591.43,1563.21,1594.06,1551.01,7.37709024781762,4.6355033829447,30.860000000000127,1563.21,16,4,1,7.2462436680287405,4.6355033829447
2015-01-19,1576.4,1590.54,1627.53,1572.94,7.30743002417839,4.6355033829447,43.049999999999955,1591.43,19,0,1,7.37709024781762,4.6355033829447
2015-01-20,1570.97,1576.47,1594.91,1561.8,7.28222192933829,4.6355033829447,54.58999999999992,1576.4,20,1,1,7.30743002417839,4.6355033829447
2015-01-21,1618.17,1570.59,1619.32,1570.59,7.50101786459301,4.6355033829447,33.11000000000013,1570.97,21,2,1,7.28222192933829,4.6355033829447
2015-01-22,1666.56,1618.68,1676.38,1618.52,7.72536464315459,4.6355033829447,48.73000000000002,1618.17,22,3,1,7.50101786459301,4.6355033829447
2015-01-23,1671.8,1667.99,1700.78,1662.11,7.74962606167821,4.6355033829447,57.86000000000013,1666.56,23,4,1,7.72536464315459,4.6355033829447
2015-01-26,1642.37,1670.23,1670.3,1622.02,7.61322934021856,4.6355033829447,38.67000000000007,1671.8,26,0,1,7.74962606167821,4.6355033829447
2015-01-27,1673.92,1642.31,1681.46,1614.16,7.75944156816995,4.6355033829447,48.27999999999997,1642.37,27,1,1,7.61322934021856,4.6355033829447
2015-01-28,1647.71,1675.3,1706.39,1643.42,7.63798004363841,4.6355033829447,67.29999999999995,1673.92,28,2,1,7.75944156816995,4.6355033829447
2015-01-29,1639.65,1647.11,1675.57,1639.65,7.6006206810579195,4.6355033829447,62.97000000000003,1647.71,29,3,1,7.63798004363841,4.6355033829447
2015-01-30,1647.69,1640.56,1664.73,1631.55,7.637894790603349,4.6355033829447,35.919999999999845,1639.65,30,4,1,7.6006206810579195,4.6355033829447
2015-02-02,1625.31,1647.74,1663.94,1616.27,7.53412304652833,4.6355033829447,33.180000000000064,1647.69,2,0,2,7.637894790603349,4.6355033829447
2015-02-03,1654.36,1626.65,1667.59,1626.65,7.66878995580034,4.6355033829447,47.67000000000007,1625.31,3,1,2,7.53412304652833,4.6355033829447
2015-02-04,1656.02,1655.5,1665.09,1643.24,7.6764900910705895,4.6355033829447,40.93999999999983,1654.36,4,2,2,7.66878995580034,4.6355033829447
2015-02-05,1696.06,1654.97,1698.83,1642.51,7.8621018583098605,4.6355033829447,21.84999999999991,1656.02,5,3,2,7.6764900910705895,4.6355033829447
2015-02-06,1755.45,1696.96,1762.39,1696.96,8.137413935492031,4.6355033829447,56.319999999999936,1696.06,6,4,2,7.8621018583098605,4.6355033829447
2015-02-09,1748.55,1755.7,1830.0,1740.58,8.10539891372294,4.6355033829447,65.43000000000006,1755.45,9,0,2,8.137413935492031,4.6355033829447
2015-02-10,1742.35,1748.02,1774.06,1729.77,8.0766892988544,4.6355033829447,89.42000000000007,1748.55,10,1,2,8.10539891372294,4.6355033829447
2015-02-11,1763.6,1744.86,1787.77,1744.86,8.17518793328421,4.6355033829447,44.289999999999964,1742.35,11,2,2,8.0766892988544,4.6355033829447
2015-02-12,1802.8,1764.24,1816.76,1747.85,8.356901880751531,4.6355033829447,42.91000000000008,1763.6,12,3,2,8.17518793328421,4.6355033829447
2015-02-13,1838.18,1802.88,1839.71,1802.88,8.520878105106549,4.6355033829447,68.91000000000008,1802.8,13,4,2,8.356901880751531,4.6355033829447
2015-02-16,1800.59,1838.21,1848.15,1785.54,8.34663524536905,4.6355033829447,36.82999999999993,1838.18,16,0,2,8.520878105106549,4.6355033829447
2015-02-17,1793.82,1800.92,1842.59,1781.8,8.31526340496252,4.6355033829447,62.61000000000013,1800.59,17,1,2,8.34663524536905,4.6355033829447
2015-02-18,1809.67,1795.83,1833.14,1795.59,8.3887369050113,4.6355033829447,60.789999999999964,1793.82,18,2,2,8.31526340496252,4.6355033829447
2015-02-19,1797.87,1809.67,1819.89,1757.33,8.33405425502934,4.6355033829447,37.55000000000018,1809.67,19,3,2,8.3887369050113,4.6355033829447
2015-02-20,1792.7,1797.88,1809.24,1780.0,8.31007350419134,4.6355033829447,62.56000000000017,1797.87,20,4,2,8.33405425502934,4.6355033829447
2015-02-24,1772.16,1786.49,1786.49,1754.81,8.214847546708599,4.6355033829447,29.24000000000001,1792.7,24,1,2,8.31007350419134,4.6355033829447
2015-02-25,1746.23,1772.4,1773.73,1727.7,8.09463215228509,4.6355033829447,31.680000000000064,1772.16,25,2,2,8.214847546708599,4.6355033829447
2015-02-26,1760.66,1746.79,1769.53,1735.27,8.16153784849547,4.6355033829447,46.02999999999997,1746.23,26,3,2,8.09463215228509,4.6355033829447
2015-02-27,1758.97,1760.67,1769.22,1740.91,8.15371980197858,4.6355033829447,34.25999999999999,1760.66,27,4,2,8.16153784849547,4.6355033829447
2015-03-02,1783.34,1759.25,1789.54,1759.18,8.266656116234639,4.6355033829447,28.309999999999945,1758.97,2,0,3,8.15371980197858,4.6355033829447
2015-03-03,1807.7,1783.44,1825.94,1769.58,8.37959441260344,4.6355033829447,30.3599999999999,1783.34,3,1,3,8.266656116234639,4.6355033829447
2015-03-04,1759.35,1807.71,1816.23,1756.33,8.15546757964885,4.6355033829447,56.36000000000013,1807.7,4,2,3,8.37959441260344,4.6355033829447
2015-03-05,1760.55,1760.67,1792.04,1746.06,8.161056789384629,4.6355033829447,59.90000000000009,1759.35,5,3,3,8.15546757964885,4.6355033829447
2015-03-06,1728.55,1761.29,1766.86,1723.09,8.012721518510741,4.6355033829447,45.98000000000002,1760.55,6,4,3,8.161056789384629,4.6355033829447
2015-03-10,1665.38,1726.86,1726.86,1663.86,7.7198897714577805,4.6355033829447,43.76999999999998,1728.55,10,1,3,8.012721518510741,4.6355033829447
2015-03-11,1671.47,1665.41,1692.31,1655.32,7.74810058025965,4.6355033829447,63.0,1665.38,11,2,3,7.7198897714577805,4.6355033829447
2015-03-12,1664.7,1671.71,1681.09,1656.35,7.716740491854741,4.6355033829447,36.99000000000001,1671.47,12,3,3,7.74810058025965,4.6355033829447
2015-03-13,1627.88,1664.59,1669.05,1621.86,7.54606279082184,4.6355033829447,24.74000000000001,1664.7,13,4,3,7.716740491854741,4.6355033829447
2015-03-16,1609.85,1626.77,1636.16,1609.82,7.4624851548250595,4.6355033829447,47.190000000000055,1627.88,16,0,3,7.54606279082184,4.6355033829447
2015-03-17,1611.69,1609.96,1627.54,1603.78,7.57057402622138,4.6972969707022,26.340000000000146,1609.85,17,1,3,7.4624851548250595,4.6355033829447
2015-03-18,1632.12,1611.74,1640.27,1611.74,7.666544230537401,4.6972969707022,23.75999999999999,1611.69,18,2,3,7.57057402622138,4.6972969707022
2015-03-19,1607.97,1634.77,1652.73,1607.25,7.55311063265587,4.6972969707022,28.529999999999973,1632.12,19,3,3,7.666544230537401,4.6972969707022
2015-03-20,1628.64,1607.97,1641.84,1599.57,7.650208484903009,4.6972969707022,45.48000000000002,1607.97,20,4,3,7.55311063265587,4.6972969707022
2015-03-23,1602.85,1629.29,1639.06,1597.64,7.52905164839915,4.6972969707022,42.26999999999998,1628.64,23,0,3,7.650208484903009,4.6972969707022
2015-03-24,1618.62,1602.33,1623.88,1590.59,7.6031587885307,4.6972969707022,41.419999999999845,1602.85,24,1,3,7.52905164839915,4.6972969707022
2015-03-25,1615.5,1618.62,1626.05,1595.9,7.5885040266057695,4.6972969707022,33.29000000000019,1618.62,25,2,3,7.6031587885307,4.6972969707022
2015-03-26,1581.84,1615.54,1633.27,1574.11,7.4303719667348895,4.6972969707022,30.149999999999864,1615.5,26,3,3,7.5885040266057695,4.6972969707022
2015-03-27,1571.55,1581.84,1594.38,1569.61,7.3820372868640405,4.6972969707022,59.16000000000008,1581.84,27,4,3,7.4303719667348895,4.6972969707022
2015-03-30,1612.84,1571.77,1615.55,1571.62,7.57598862153556,4.6972969707022,24.77000000000021,1571.55,30,0,3,7.3820372868640405,4.6972969707022
2015-03-31,1626.18,1612.93,1626.18,1606.24,7.63867082194162,4.6972969707022,43.930000000000064,1612.84,31,1,3,7.57598862153556,4.6972969707022
2015-04-01,1661.9,1625.21,1663.17,1613.77,7.80642745317254,4.6972969707022,19.940000000000055,1626.18,1,2,4,7.63867082194162,4.6972969707022
2015-04-02,1679.24,1661.9,1682.29,1656.23,7.88788055119588,4.6972969707022,49.40000000000009,1661.9,2,3,4,7.80642745317254,4.6972969707022
2015-04-03,1681.47,1679.61,1692.95,1676.47,7.89836158811078,4.6972969707022,26.059999999999945,1679.24,3,4,4,7.88788055119588,4.6972969707022
2015-04-06,1700.64,1681.8,1701.24,1679.3,7.9883996777529,4.6972969707022,16.480000000000018,1681.47,6,0,4,7.89836158811078,4.6972969707022
2015-04-07,1695.64,1700.64,1709.88,1684.17,7.9649310122423,4.6972969707022,21.940000000000055,1700.64,7,1,4,7.9883996777529,4.6972969707022
2015-04-08,1683.63,1695.51,1695.59,1669.88,7.908521072383389,4.6972969707022,25.710000000000036,1695.64,8,2,4,7.9649310122423,4.6972969707022
2015-04-09,1667.6,1683.1,1683.1,1648.36,7.8332042376437405,4.6972969707022,25.70999999999981,1683.63,9,3,4,7.908521072383389,4.6972969707022
2015-04-10,1657.02,1667.62,1674.48,1635.85,7.78351024748524,4.6972969707022,34.74000000000001,1667.6,10,4,4,7.8332042376437405,4.6972969707022
2015-04-13,1678.19,1657.1,1694.94,1654.49,7.88294501428241,4.6972969707022,38.63000000000011,1657.02,13,0,4,7.78351024748524,4.6972969707022
2015-04-14,1647.39,1678.43,1678.5,1641.8,7.73829807763593,4.6972969707022,40.450000000000045,1678.19,14,1,4,7.88294501428241,4.6972969707022
2015-04-15,1677.7,1647.29,1681.83,1643.11,7.880652147526139,4.6972969707022,36.700000000000045,1647.39,15,2,4,7.73829807763593,4.6972969707022
